,price,area
980,1234345,2478
981,345631,1344
982,310319,1201
983,448539,1758
984,294447,1137
985,85327,295
986,630829,1254
987,1020083,4062
988,981436,1965
989,2158531,4352
990,668145,1330
991,611475,2415
992,888891,3533
993,286759,1106
994,1587485,3194
995,236415,903
996,959227,3816
997,746527,2958
998,517544,1025
999,381743,1489
1000,633787,1260
1001,1187017,2382
1002,1000170,2003
1003,519752,1029
1004,429533,846
1005,660409,1314
1006,370335,1443
1007,2229030,4495
1008,445309,878
1009,306351,1185
1010,969891,3859
1011,712174,1419
1012,1223347,4881
1013,2058043,4148
1014,1278639,5103
1015,563136,1117
1016,895091,3558
1017,885794,1771
1018,1727497,3478
1019,390175,1523
1020,475487,1867
1021,922771,3669
1022,383811,1497
1023,345383,1343
1024,1009915,4021
1025,497395,1955
1026,906995,3606
1027,1333047,5323
1028,394735,1542
1029,981147,3905
1030,302975,1172
1031,493923,1941
1032,287599,1110
1033,833452,1665
1034,478051,1877
1035,1116211,4449
1036,380751,1485
1037,811351,1620
1038,317359,1230
1039,75903,257
1040,363487,1416
1041,980450,1963
1042,289819,1118
1043,810771,3218
1044,515995,2030
1045,253387,973
1046,371079,1446
1047,291319,1125
1048,1147577,2302
1049,328271,1274
1050,157245,294
1051,342559,1331
1052,647591,1288
1053,2256145,4550
1054,909627,3616
1055,1787150,3599
1056,1107283,4413
1057,1316828,2645
1058,749763,2972
1059,446471,1750
1060,969111,1940
1061,943203,3752
1062,781278,1559
1063,1231880,2473
1064,1158916,2325
1065,583349,1158
1066,1986815,4004
1067,996923,3968
1068,1247163,2504
1069,627595,2480
1070,654000,1301
1071,677171,1348
1072,289335,1117
1073,340079,1321
1074,677099,2679
1075,1538830,3095
1076,1256834,2523
1077,1123420,2253
1078,100550,179
1079,50111,153
1080,258487,992
1081,828113,1654
1082,390519,1525
1083,800355,3176
1084,238259,912
1085,58152,93
1086,669411,2648
1087,827877,1654
1088,515995,2030
1089,506075,1990
1090,669283,1332
1091,851939,3384
1092,278423,1073
1093,335615,1303
1094,280407,1081
1095,1510729,3038
1096,1030983,4105
1097,1204272,2417
1098,849707,3375
1099,515003,2026
1100,546499,2153
1101,632308,1257
1102,690987,2735
1103,1893638,3815
1104,816723,3242
1105,225859,862
1106,1049470,2103
1107,1768909,3562
1108,792915,3146
1109,323215,1253
1110,367111,1430
1111,692947,1380
1112,816774,1631
1113,1346901,2706
1114,453499,1778
1115,536083,2111
1116,276439,1065
1117,427955,1675
1118,390423,1524
1119,709064,1413
1120,964674,1931
1121,30767,75
1122,1686578,3395
1123,361159,1406
1124,335863,1304
1125,1868988,3765
1126,912699,3629
1127,612095,1216
1128,73919,249
1129,292075,1129
1130,608499,2403
1131,845368,1689
1132,1130843,4508
1133,521203,2051
1134,750259,2974
1135,1484479,5933
1136,709216,1413
1137,815211,1628
1138,1942104,3913
1139,338095,1313
1140,1574174,3167
1141,836315,3321
1142,840435,3337
1143,432183,1693
1144,611475,2415
1145,1647631,3316
1146,728187,2885
1147,326687,1267
1148,670403,2652
1149,634773,1262
1150,518425,1026
1151,1266542,2543
1152,324455,1258
1153,387047,1511
1154,535091,2107
1155,810179,3215
1156,266271,1024
1157,262551,1009
1158,63503,207
1159,373311,1455
1160,430931,1687
1161,2238974,4515
1162,32999,84
1163,435147,1704
1164,380103,1483
1165,681115,1356
1166,500619,1968
1167,26055,56
1168,411255,1608
1169,1606219,3232
1170,96606,171
1171,636252,1265
1172,614560,1221
1173,1140675,2288
1174,613081,1218
1175,285271,1100
1176,1315687,5253
1177,350247,1362
1178,600371,2369
1179,583355,2301
1180,1402610,2819
1181,854075,3392
1182,621643,2456
1183,1558891,3136
1184,1902664,3833
1185,1857156,3741
1186,2164447,4364
1187,995733,1994
1188,837973,1674
1189,497643,1956
1190,301846,587
1191,449035,1760
1192,519219,2043
1193,380751,1485
1194,1464880,2945
1195,302879,1171
1196,813995,3231
1197,821435,3261
1198,1725525,3474
1199,1286835,5137
1200,330751,1284
1201,510787,2009
1202,373095,732
1203,1020876,2045
1204,595011,2348
1205,18367,25
1206,838547,3330
1207,184276,349
1208,833452,1665
1209,91279,319
1210,1409512,2833
1211,261463,1004
1212,322471,1250
1213,1068204,2141
1214,1171734,2351
1215,1166804,2341
1216,845368,1689
1217,491195,1930
1218,281055,1083
1219,992059,3949
1220,2017040,4065
1221,436387,1709
1222,43415,126
1223,283535,1093
1224,285863,1103
1225,487707,964
1226,1572847,3164
1227,200703,759
1228,410306,807
1229,787211,3123
1230,1821167,3668
1231,635759,1264
1232,792311,3142
1233,1117504,2241
1234,263543,1013
1235,2432146,4907
1236,279815,1078
1237,447045,882
1238,1243712,2497
1239,579979,2288
1240,566339,2233
1241,551955,2175
1242,425475,1665
1243,778779,3089
1244,919811,1840
1245,627719,1248
1246,793659,3149
1247,670269,1334
1248,544763,2146
1249,73175,246
1250,137323,505
1251,719259,2849
1252,335367,1302
1253,1418879,2852
1254,1256037,2522
1255,906403,3603
1256,2160844,4357
1257,324799,1260
1258,60031,193
1259,504339,1983
1260,599277,1190
1261,298663,1154
1262,962795,3831
1263,296279,1145
1264,307343,1189
1265,316023,1224
1266,403155,1575
1267,261063,1003
1268,533851,2102
1269,562795,1116
1270,44407,130
1271,2042524,4117
1272,295439,1141
1273,223367,851
1274,962795,3831
1275,266023,1023
1276,1691508,3405
1277,339831,1320
1278,697384,1389
1279,805928,1609
1280,858539,3410
1281,1206737,2422
1282,307591,1190
1283,647098,1287
1284,1438751,2892
1285,322223,1249
1286,346279,1346
1287,285519,1101
1288,285341,554
1289,464411,1822
1290,719076,1433
1291,489936,969
1292,1042075,2088
1293,732803,2903
1294,50264,77
1295,580155,1152
1296,1495294,3007
1297,997667,3971
1298,715473,1426
1299,1765610,3555
1300,342903,1333
1301,710543,1416
1302,904019,3594
1303,545507,2149
1304,799363,3172
1305,493179,1938
1306,1330071,5311
1307,875499,3479
1308,1546802,3111
1309,191387,723
1310,253127,971
1311,622060,1237
1312,366367,1427
1313,884923,3517
1314,907987,3610
1315,2190576,4417
1316,1211927,4834
1317,2034872,4101
1318,1639402,3299
1319,443579,1738
1320,864595,1728
1321,1467215,5864
1322,1614107,3248
1323,1905622,3839
1324,364727,1421
1325,261819,1007
1326,1522561,3062
1327,28079,32
1328,500371,1967
1329,1025443,4083
1330,83095,286
1331,236263,903
1332,840438,1679
1333,600067,2369
1334,1818702,3663
1335,315527,1222
1336,573779,2263
1337,874907,3476
1338,1057683,4213
1339,1955908,3941
1340,650397,1294
1341,1051935,2108
1342,326439,1266
1343,763294,1523
1344,1031722,2067
1345,503595,1980
1346,228091,871
1347,356447,1387
1348,2007180,4045
1349,945931,3763
1350,289487,1117
1351,833043,1664
1352,567083,2236
1353,854419,3394
1354,280159,1080
1355,290727,1122
1356,1249135,2508
1357,606027,1204
1358,298759,1155
1359,524675,2065
1360,774219,3070
1361,235023,898
1362,635339,2510
1363,818211,3248
1364,1721581,3466
1365,1679183,3380
1366,303623,1174
1367,243715,934
1368,380983,748
1369,52839,164
1370,1048977,2102
1371,1609670,3239
1372,517731,2037
1373,639251,2527
1374,309327,1197
1375,922275,3667
1376,1138703,2284
1377,1488392,2993
1378,1895117,3818
1379,279663,1078
1380,657792,1309
1381,1222020,2453
1382,1901033,3830
1383,1154138,2315
1384,273615,1053
1385,696891,1388
1386,722731,2863
1387,294803,1140
1388,662381,1318
1389,2414975,4872
1390,486731,1912
1391,23575,46
1392,493675,1940
1393,672734,1339
1394,1474247,2964
1395,507920,1005
1396,1119035,4461
1397,1099431,4381
1398,791083,3138
1399,399599,1561
1400,433823,1699
1401,663211,2623
1402,368943,1438
1403,1087939,4335
1404,1083063,4315
1405,504091,1982
1406,835323,3317
1407,582363,1156
1408,1880820,3789
1409,1010523,2024
1410,74421,126
1411,785227,3115
1412,747261,1490
1413,302879,1171
1414,395879,1546
1415,364135,1418
1416,409271,1600
1417,39695,111
1418,604805,1202
1419,1509591,3036
1420,731907,2900
1421,218407,831
1422,905514,1811
1423,913843,3633
1424,1166311,2340
1425,228563,871
1426,371616,729
1427,1046512,2097
1428,382239,1491
1429,313379,1213
1430,429939,1683
1431,328175,1273
1432,492683,1936
1433,373807,1457
1434,853579,3390
1435,519904,1029
1436,1230043,4908
1437,845861,1690
1438,2223607,4484
1439,973955,3876
1440,517731,2037
1441,367111,1430
1442,1964373,3958
1443,817676,1633
1444,366203,1426
1445,936573,1874
1446,63007,205
1447,568819,2243
1448,326191,1265
1449,331647,1287
1450,732555,2902
1451,1998306,4027
1452,251887,966
1453,472099,1853
1454,1103563,4398
1455,900451,3579
1456,77143,262
1457,660750,1315
1458,551459,2173
1459,760336,1517
1460,516987,2034
1461,636745,1266
1462,823419,3269
1463,535528,1061
1464,128727,470
1465,23575,46
1466,313047,1212
1467,895654,1791
1468,54327,170
1469,721739,2859
1470,257343,988
1471,564107,2224
1472,696739,1388
1473,1816730,3659
1474,1085952,2177
1475,1257516,2525
1476,383811,1497
1477,525915,2070
1478,429195,1680
1479,1441709,2898
1480,543771,2142
1481,279911,1079
1482,416215,1628
1483,944347,3756
1484,339831,1320
1485,406543,1589
1486,396211,1547
1487,543909,1078
1488,1177467,4696
1489,759339,3010
1490,536083,2111
1491,361903,1409
1492,424731,1662
1493,268407,1032
1494,374574,735
1495,1166143,4650
1496,1973163,3976
1497,694307,2749
1498,456227,1789
1499,691468,1377
1500,1225623,2460
1501,660902,1315
1502,730415,1456
1503,827139,3284
1504,551068,1093
1505,485987,1909
1506,278575,1073
1507,1568258,3155
1508,184853,350
1509,598139,1188
1510,387199,1511
1511,569052,1129
1512,417539,1633
1513,600315,2370
1514,1179129,2366
1515,613574,1219
1516,1352324,2717
1517,703641,1402
1518,1026283,4087
1519,498553,986
1520,893259,3550
1521,120270,219
1522,897323,3567
1523,529635,2085
1524,1163331,4639
1525,1554454,3127
1526,1010030,2023
1527,831851,3303
1528,554262,1099
1529,976013,1954
1530,832347,3305
1531,487227,1914
1532,305359,1181
1533,404395,1580
1534,910937,1822
1535,47135,141
1536,1923370,3875
1537,588659,2323
1538,744059,2949
1539,876243,3482
1540,977675,3891
1541,2753325,5558
1542,636275,2515
1543,745289,1486
1544,575763,2271
1545,785723,3117
1546,700342,1395
1547,194859,737
1548,557372,1105
1549,586427,2314
1550,2021477,4074
1551,653539,2584
1552,562371,2217
1553,307839,1191
1554,817715,3246
1555,342903,1333
1556,1536706,3091
1557,303623,1174
1558,33247,85
1559,399447,1561
1560,758843,3008
1561,801407,1600
1562,1645811,3312
1563,1032883,4113
1564,753586,1503
1565,800107,3175
1566,516491,2032
1567,561627,2214
1568,738796,1473
1569,243951,934
1570,458459,1798
1571,993451,3954
1572,469867,1844
1573,302479,1170
1574,2041197,4114
1575,536579,2113
1576,641675,1276
1577,303719,1175
1578,324055,1257
1579,70477,118
1580,870043,3457
1581,296431,1145
1582,793907,3150
1583,198083,750
1584,457219,1793
1585,31759,79
1586,266175,1023
1587,1705805,3434
1588,433411,1697
1589,557372,1105
1590,392322,771
1591,292807,1131
1592,645126,1283
1593,304711,1179
1594,1168776,2345
1595,966915,3847
1596,380007,1482
1597,2082950,4199
1598,1278867,2568
1599,768611,3048
1600,58295,186
1601,312647,1211
1602,890231,1780
1603,511779,2013
1604,799859,3174
1605,793659,3149
1606,631371,2494
1607,734700,1465
1608,2408566,4859
1609,866567,1732
1610,383327,1496
1611,1858294,3743
1612,362247,1411
1613,725115,2872
1614,1079507,4301
1615,967011,3848
1616,869525,1738
1617,843312,1685
1618,1788629,3602
1619,483270,955
1620,379015,1478
1621,291471,1125
1622,63007,205
1623,1257571,5019
1624,1573681,3166
1625,302135,1168
1626,2640921,5330
1627,58645,94
1628,653848,1301
1629,388687,1517
1630,1570723,3160
1631,289239,1116
1632,795299,3155
1633,941010,1883
1634,1629542,3279
1635,866323,3442
1636,1802926,3631
1637,763155,3026
1638,2432639,4908
1639,447299,1753
1640,41927,120
1641,568075,2240
1642,86071,298
1643,927083,3687
1644,565843,2231
1645,437379,1713
